A,1,C,0.5,
A,1,[a&i],-0.1667,
A,2,C,0.5,
A,2,[a&i],-0.1667,
A,3,D,0.5,
A,3,[a&i],-0.1667,
A,4,A,0.5,
A,4,[a&i],-0.1667,
A,5,C,0.5,
A,5,[a&i],-0.1667,
A,6,B,0.5,
A,6,[a&i],-0.1667,
A,7,D,0.5,
A,7,[a&i],-0.1667,
A,8,D,0.5,
A,8,[a&i],-0.1667,
A,9,B,0.5,
A,9,[a&i],-0.1667,
A,10,C,0.5,
A,10,[a&i],-0.1667,
A,11,B,0.5,
A,11,[a&i],-0.1667,
A,12,C,0.5,
A,12,[a&i],-0.1667,
A,13,B,0.5,
A,13,[a&i],-0.1667,
A,14,B,0.5,
A,14,[a&i],-0.1667,
A,15,A,0.5,
A,15,[a&i],-0.1667,
A,16,C,0.5,
A,16,[a&i],-0.1667,
A,17,C,0.5,
A,17,[a&i],-0.1667,
A,18,A,0.5,
A,18,[a&i],-0.1667,
A,19,C,0.5,
A,19,[a&i],-0.1667,
A,20,C,0.5,
A,20,[a&i],-0.1667,
A,21,B,0.5,
A,21,[a&i],-0.1667,
A,22,A,0.5,
A,22,[a&i],-0.1667,
A,23,C,0.5,
A,23,[a&i],-0.1667,
A,24,D,0.5,
A,24,[a&i],-0.1667,
A,25,D,0.5,
A,25,[a&i],-0.1667,
A,26,B,0.5,
A,26,[a&i],-0.1667,
A,27,D,0.5,
A,27,[a&i],-0.1667,
A,28,B,0.5,
A,28,[a&i],-0.1667,
A,29,A,0.5,
A,29,[a&i],-0.1667,
A,30,A,0.5,
A,30,[a&i],-0.1667,
A,31,B,0.5,
A,31,[a&i],-0.1667,
A,32,B,0.5,
A,32,[a&i],-0.1667,
A,33,D,0.5,
A,33,[a&i],-0.1667,
A,34,C,0.5,
A,34,[a&i],-0.1667,
A,35,A,0.5,
A,35,[a&i],-0.1667,
A,36,C,0.5,
A,36,[a&i],-0.1667,
A,37,D,0.5,
A,37,[a&i],-0.1667,
A,38,D,0.5,
A,38,[a&i],-0.1667,
A,39,C,0.5,
A,39,[a&i],-0.1667,
A,40,B,0.5,
A,40,[a&i],-0.1667,
B,1,B,0.5,
B,1,[a&i],-0.1667,
B,2,D,0.5,
B,2,[a&i],-0.1667,
B,3,C,0.5,
B,3,[a&i],-0.1667,
B,4,B,0.5,
B,4,[a&i],-0.1667,
B,5,B,0.5,
B,5,[a&i],-0.1667,
B,6,B,0.5,
B,6,[a&i],-0.1667,
B,7,B,0.5,
B,7,[a&i],-0.1667,
B,8,D,0.5,
B,8,[a&i],-0.1667,
B,9,A,0.5,
B,9,[a&i],-0.1667,
B,10,A,0.5,
B,10,[a&i],-0.1667,
B,11,A,0.5,
B,11,[a&i],-0.1667,
B,12,B,0.5,
B,12,[a&i],-0.1667,
B,13,C,0.5,
B,13,[a&i],-0.1667,
